iter	Passed	Remaining
0	15	3018
1	30	2988
2	44	2902
3	58	2850
4	71	2801
5	85	2750
6	98	2716
7	112	2696
8	126	2676
9	139	2652
10	153	2634
11	165	2600
12	179	2580
13	192	2560
14	206	2542
15	219	2522
16	233	2509
17	246	2493
18	260	2478
19	273	2461
20	287	2447
21	300	2430
22	313	2412
23	327	2404
24	342	2400
25	356	2385
26	369	2369
27	383	2352
28	397	2341
29	410	2326
30	424	2311
31	437	2295
32	450	2278
33	463	2264
34	477	2251
35	490	2235
36	504	2221
37	517	2206
38	530	2191
39	544	2176
40	558	2166
41	573	2156
42	586	2142
43	599	2126
44	612	2110
45	626	2096
46	639	2082
47	654	2072
48	667	2058
49	682	2048
50	696	2034
51	710	2021
52	724	2008
53	738	1995
54	751	1981
55	764	1966
56	777	1950
57	790	1936
58	804	1922
59	817	1908
60	830	1892
61	843	1878
62	857	1863
63	869	1847
64	884	1837
65	898	1823
66	911	1809
67	925	1796
68	939	1783
69	954	1772
70	968	1759
71	982	1746
72	999	1739
73	1013	1726
74	1028	1713
75	1041	1698
76	1055	1686
77	1068	1671
78	1081	1657
79	1094	1642
80	1107	1627
81	1120	1612
82	1134	1599
83	1148	1585
84	1161	1570
85	1173	1555
86	1187	1542
87	1200	1528
88	1213	1513
89	1226	1499
90	1239	1484
91	1252	1470
92	1265	1456
93	1278	1441
94	1291	1427
95	1305	1414
96	1319	1400
97	1331	1386
98	1344	1371
99	1357	1357
100	1370	1343
101	1383	1329
102	1396	1315
103	1409	1301
104	1422	1287
105	1435	1272
106	1448	1258
107	1461	1244
108	1475	1232
109	1488	1218
110	1501	1204
111	1514	1190
112	1527	1176
113	1540	1161
114	1554	1149
115	1569	1136
116	1584	1123
117	1597	1109
118	1610	1096
119	1623	1082
120	1635	1067
121	1648	1053
122	1661	1039
123	1673	1025
124	1686	1011
125	1699	998
126	1712	984
127	1726	971
128	1740	957
129	1753	944
130	1766	930
131	1779	916
132	1791	902
133	1804	888
134	1817	875
135	1830	861
136	1843	847
137	1856	834
138	1869	820
139	1882	806
140	1895	793
141	1908	779
142	1921	765
143	1934	752
144	1946	738
145	1960	725
146	1973	711
147	1986	698
148	2003	685
149	2016	672
150	2029	658
151	2043	645
152	2056	631
153	2069	618
154	2081	604
155	2094	590
156	2106	577
157	2119	563
158	2132	550
159	2145	536
160	2158	522
161	2172	509
162	2185	496
163	2197	482
164	2209	468
165	2223	455
166	2236	441
167	2249	428
168	2262	414
169	2275	401
170	2288	388
171	2300	374
172	2313	361
173	2325	347
174	2338	334
175	2351	320
176	2363	307
177	2376	293
178	2389	280
179	2402	266
180	2415	253
181	2428	240
182	2440	226
183	2453	213
184	2466	199
185	2479	186
186	2492	173
187	2505	159
188	2518	146
189	2531	133
190	2545	119
191	2559	106
192	2572	93
193	2585	79
194	2597	66
195	2610	53
196	2622	39
197	2635	26
198	2648	13
199	2661	0
